Find,Replace,Comments
אונדז,אונז,
אָרעמ,אָרימ,
גרענעצ,גרעניצ,
ייִנ,אינ,
נידעריק,נידריג,
עמעצ,עמיצ,
עקסיסט,עקזיסט,
אַבֿרהמ,אַבֿרהם,
זלמנ,זלמן,
אַהרונ,אַהרון,
אַהרנ,אַהרן,
בנימינ,בנימין,
פֿינצטער,פֿינסטער,
פֿענצטער,פֿענסטער,
