Find,Replace,Comments
זעענדיק,זעהענדיג,
ייִד,איד,
לייענענ,ליינענ,
זונטיק,זונטאָג,
מאָנטיק,מאָנטאָג,
דינסטיק,דינסטאָג,
דאָנערשטיק,דאָנערשטאָג,
פֿרײַטיק,פֿרײַטאָג,
שלמות,שלימות,
גנבֿה,גניבֿה,
גנבֿות,גניבֿות,
מגפֿה,מגיפֿה,
מגפֿות,מגיפֿות,
נקבֿה,נקיבֿה,
נקבֿות,נקיבֿות,
מצבֿה,מציבֿה,
מצבֿות,מציבֿות,
ספֿקות,ספֿיקות,
גילגול,גלגול,
מידבר,מדבר,
מיזרח,מזרח,
מינהג,מנהג,
מינחה,מנחה,
מיצווה,מצוה,
מיצוות,מצוות,
גאווה,גאוה,
ניפֿטר,נפֿטר,
מישנה,משנה,
מישפּט,משפּט,
מיקווה,מקוה,
צימצום,צמצום,
צימצומ,צמצומ,
שׂימח,שׂמח,
דווקא,דוקא,
עופֿל,עוף'ל,
עופֿעל,עוף'על,
