Find,Replace,Comments
געזען,געזעהן,
געלייענט,געליינט,
זעען,זעהען,
לייענען,ליינען,
יקייט,יגקייט,
יִקייט,יִגקייט,
יקייטן,יגקייטן,
יִקייטן,יִגקייטן,
יקווײַז,יגווײַז,
יִקווײַז,יגווײַז,
יקערהייט,יגערהייט,
יִקערהייט,יִגערהייט,
געטאָן,געטון,
